TIME,LABEL
90.077979167,43.2
90.544187500,43.3
91.007729167,43.4
91.493687500,44.1
91.952062500,44.2
92.431312500,44.3
92.916625000,44.4
93.408541667,45.1
93.891937500,45.2
94.376875000,45.3
94.888125000,45.4
95.330541667,46.1
95.820458333,46.2
96.318666667,46.3
96.766333333,46.4
97.242250000,47.1
97.754479167,47.2
98.230645833,47.3
98.689291667,47.4
99.145937500,48.1
99.650812500,48.2
100.141479167,48.3
100.612250000,48.4
101.113479167,49.1
101.557354167,49.2
102.073291667,49.3
102.542062500,49.4
103.023708333,50.1
103.523437500,50.2
103.974145833,50.3
104.445541667,50.4
104.943833333,51.1
105.428166667,51.2
105.889666667,51.3
106.372479167,51.4
106.825312500,52.1
107.265229167,52.2
107.755729167,52.3
108.247812500,52.4
108.696270833,53.1
109.166833333,53.2
109.666166667,53.3
110.173604167,53.4
110.645812500,54.1
111.154500000,54.2
111.648562500,54.3
112.125437500,54.4
112.618333333,55.1
113.109770833,55.2
113.570645833,55.3
114.089083333,55.4
114.558729167,56.1
115.008520833,56.2
115.501354167,56.3
115.972333333,56.4
116.436062500,57.1
116.909104167,57.2
117.427750000,57.3
117.874458333,57.4
118.366416667,58.1
118.827020833,58.2
119.331270833,58.3
119.805875000,58.4
120.293875000,59.1
120.793729167,59.2
121.273562500,59.3
121.730250000,59.4
122.201333333,60.1
122.698604167,60.2
123.170250000,60.3
123.641833333,60.4
124.097583333,61.1
124.594854167,61.2
125.035729167,61.3
125.522312500,61.4
126.003166667,62.1
126.532437500,62.2
127.012833333,62.3
127.484541667,62.4
127.934979167,63.1
128.422583333,63.2
128.907500000,63.3
129.397937500,63.4
129.920854167,64.1
130.392604167,64.2
130.864958333,64.3
131.309395833,64.4
131.807270833,65.1
132.323916667,65.2
132.790958333,65.3
133.278083333,65.4
133.743333333,66.1
134.214645833,66.2
134.674125000,66.3
135.187833333,66.4
135.629729167,67.1
136.143020833,67.2
136.599250000,67.3
137.060833333,67.4
137.528250000,68.1
138.017937500,68.2
138.489833333,68.3
139.027000000,68.4
139.509854167,69.1
139.973458333,69.2
140.459583333,69.3
140.923770833,69.4
141.401479167,70.1
141.905666667,70.2
142.364479167,70.3
142.830041667,70.4
143.304312500,71.1
143.811708333,71.2
144.285125000,71.3
144.760187500,71.4
145.219166667,72.1
145.683125000,72.2
146.194166667,72.3
146.681354167,72.4
147.162875000,73.1
147.659562500,73.2
148.118312500,73.3
148.608125000,73.4
149.073958333,74.1
149.552729167,74.2
150.027375000,74.3
150.540062500,74.4
151.024541667,75.1
151.446604167,75.2
151.985979167,75.3
152.468562500,75.4
152.922416667,76.1
153.417687500,76.2
153.915166667,76.3
154.397312500,76.4
154.890437500,77.1
155.356166667,77.2
155.829000000,77.3
156.297437500,77.4
156.733187500,78.1
157.234250000,78.2
157.741666667,78.3
158.222083333,78.4
158.717812500,79.1
159.221770833,79.2
159.661354167,79.3
160.156375000,79.4
160.597041667,80.1
161.093354167,80.2
161.549208333,80.3
162.027833333,80.4
162.561354167,81.1
163.042791667,81.2
163.491625000,81.3
163.979791667,81.4
164.424812500,82.1
164.905937500,82.2
165.358520833,82.3
165.815333333,82.4
166.313312500,83.1
166.774583333,83.2
167.275270833,83.3
167.789375000,83.4
168.246791667,84.1
168.747750000,84.2
169.239479167,84.3
169.736104167,84.4
170.222541667,85.1
170.743520833,85.2
171.192687500,85.3
171.699541667,85.4
172.152854167,86.1
172.642187500,86.2
173.129791667,86.3
173.612354167,86.4
174.055437500,87.1
174.561062500,87.2
175.042604167,87.3
175.520729167,87.4
175.987166667,88.1
176.486437500,88.2
176.934395833,88.3
177.437312500,88.4
177.898187500,89.1
178.399041667,89.2
178.843104167,89.3
179.341895833,89.4
179.834937500,90.1
180.317187500,90.2
180.818666667,90.3
181.224833333,90.4
181.689104167,91.1
182.215395833,91.2
182.684458333,91.3
183.126312500,91.4
183.615645833,92.1
184.109979167,92.2
184.552645833,92.3
185.045104167,92.4
185.544062500,93.1
186.050041667,93.2
186.525541667,93.3
187.038083333,93.4
187.482250000,94.1
187.994020833,94.2
188.444625000,94.3
188.931041667,94.4
189.419333333,95.1
189.905000000,95.2
190.363708333,95.3
190.877270833,95.4
191.324666667,96.1
191.825291667,96.2
192.298437500,96.3
192.775020833,96.4
193.229854167,97.1
193.731729167,97.2
194.185125000,97.3
194.654187500,97.4
195.143479167,98.1
195.673645833,98.2
196.166687500,98.3
196.622645833,98.4
197.107250000,99.1
197.553562500,99.2
198.043791667,99.3
198.552583333,99.4
199.047770833,100.1
199.535645833,100.2
200.032041667,100.3
200.494145833,100.4
